rawMax;rawMin;rawAve;rawDev;rawVar;fitMax;fitMin;fitAve
7289.57;3346.76;4224.93;807.56;652146.22;5069.91;3982.80;4224.93
5841.00;3346.76;4088.89;696.90;485667.30;4906.67;3742.51;4088.89
6559.88;3346.76;4348.53;808.73;654042.15;5218.24;3954.54;4348.53
6503.54;3346.76;4150.72;817.67;668582.54;4980.87;3867.06;4150.72
6407.31;3346.76;4110.64;711.08;505629.66;4932.77;3837.20;4110.64
7129.67;3346.76;4731.13;875.46;766429.42;5677.35;4184.99;4731.13
6260.63;3346.76;4523.90;801.68;642690.93;5428.68;3910.65;4523.90
6714.44;3346.76;4065.43;793.97;630395.96;4878.52;3844.84;4065.43
5672.23;3346.76;4088.02;683.98;467825.14;4905.62;3705.46;4088.02
6321.00;3346.76;4202.40;795.75;633222.82;5042.88;3862.95;4202.40
6756.39;3346.76;4231.75;780.49;609169.31;5078.10;3935.07;4231.75
6409.61;3346.76;4313.47;758.06;574651.44;5176.16;3915.61;4313.47
6297.94;3346.76;4155.43;756.39;572124.96;4986.51;3841.74;4155.43
6005.27;3346.76;4201.48;712.97;508325.45;5041.78;3803.31;4201.48
5469.14;3346.76;4063.05;664.98;442202.14;4875.66;3649.09;4063.05
6621.83;3346.76;4319.57;829.54;688136.23;5183.49;3954.53;4319.57
6384.34;3346.76;4128.04;763.16;582415.95;4953.65;3842.16;4128.04
6598.83;3346.76;4194.15;844.23;712731.04;5032.99;3898.56;4194.15
6208.09;3346.76;4503.17;762.75;581780.20;5403.80;3892.29;4503.17
6635.59;3346.76;4488.09;840.32;706137.70;5385.70;4011.03;4488.09
7257.05;3346.76;4678.39;801.71;642744.14;5614.06;4195.20;4678.39
6697.29;3346.76;4474.94;817.22;667848.07;5369.92;4020.60;4474.94
6149.04;3346.76;4449.56;703.12;494373.75;5339.47;3872.09;4449.56
6445.63;3346.76;4358.47;810.07;656220.19;5230.17;3935.94;4358.47
6279.66;3346.76;4308.06;798.20;637130.72;5169.67;3887.96;4308.06
6814.54;3346.76;4068.94;773.12;597718.92;4882.73;3854.89;4068.94
6382.85;3346.76;4127.53;683.76;467531.06;4953.03;3841.75;4127.53
6928.27;3346.76;4275.28;928.34;861806.67;5130.34;3976.02;4275.28
5376.73;3346.76;3944.89;577.58;333597.84;4733.87;3615.31;3944.89
5781.95;3346.76;4073.37;694.50;482327.81;4888.05;3726.91;4073.37
5627.86;3346.76;3926.89;673.19;453182.44;4712.27;3659.03;3926.89
5810.91;3346.76;4022.81;755.13;570217.99;4827.37;3718.62;4022.81
7161.60;3346.76;4543.21;901.10;811980.18;5451.85;4128.01;4543.21
6504.51;3346.76;4287.46;789.34;623053.75;5144.95;3923.62;4287.46
6069.35;3346.76;4706.20;673.32;453357.88;5647.44;3767.52;4706.20
6434.89;3346.76;4643.81;833.82;695257.93;5572.57;3971.23;4643.81
6733.75;3346.76;4834.32;788.51;621741.00;5801.18;4077.11;4834.32
5619.30;3346.76;4359.91;697.21;486094.93;5231.89;3658.42;4359.91
6290.66;3346.76;4308.56;787.70;620469.22;5170.28;3890.42;4308.56
6963.61;3346.76;4084.50;818.24;669521.75;4901.40;3875.18;4084.50
5902.49;3346.76;4068.98;704.72;496636.17;4882.78;3748.43;4068.98
6650.93;3346.76;4519.70;826.92;683801.40;5423.64;4022.21;4519.70
6800.51;3346.76;4313.04;820.70;673549.76;5175.64;3977.95;4313.04
6117.01;3346.76;3994.54;676.26;457327.71;4793.44;3750.71;3994.54
6489.30;3346.76;4065.76;837.06;700664.73;4878.91;3824.52;4065.76
7228.34;3346.76;4607.37;808.09;653015.99;5528.84;4164.17;4607.37
6512.20;3346.76;4457.16;830.06;689003.74;5348.59;3975.49;4457.16
7583.58;3346.76;4456.46;834.60;696561.34;5347.75;4140.18;4456.46
6334.04;3346.76;4200.87;763.25;582557.72;5041.05;3864.47;4200.87
6156.19;3346.76;4107.08;713.07;508468.09;4928.50;3802.30;4107.08
6229.21;3346.76;4190.24;760.85;578892.93;5028.29;3843.56;4190.24
6432.05;3346.76;4184.50;806.22;649985.16;5021.41;3872.56;4184.50
6205.56;3346.76;4103.83;758.20;574863.72;4924.59;3808.18;4103.83
6745.49;3346.76;4379.44;643.12;413601.05;5255.33;3997.15;4379.44
6874.92;3346.76;4378.82;776.10;602333.39;5254.58;4016.72;4378.82
5710.12;3346.76;4070.09;679.31;461459.41;4884.11;3711.07;4070.09
6488.21;3346.76;4248.20;793.42;629516.30;5097.84;3906.28;4248.20
6126.43;3346.76;4332.75;759.19;576375.41;5199.30;3856.41;4332.75
7359.59;3346.76;4108.44;810.74;657306.50;4930.13;3915.94;4108.44
5834.52;3346.76;4199.98;725.29;526041.39;5039.98;3761.51;4199.98
5670.41;3346.76;4083.55;685.39;469755.30;4900.26;3704.35;4083.55
6639.60;3346.76;4383.08;822.22;676044.45;5259.69;3980.49;4383.08
6396.87;3346.76;3936.25;689.03;474763.50;4723.50;3747.65;3936.25
