rawMax;rawMin;rawAve;rawDev;rawVar;fitMax;fitMin;fitAve
6452.89;3346.76;4282.55;778.28;605726.65;5139.06;3913.25;4282.55
6982.02;3346.76;4074.66;755.21;570347.16;4889.59;3870.63;4074.66
6741.25;3346.76;4198.44;739.10;546270.70;5038.13;3917.20;4198.44
5523.78;3346.76;4125.59;636.28;404849.11;4950.71;3665.98;4125.59
6042.90;3346.76;4115.86;695.11;483179.43;4939.03;3787.32;4115.86
7485.82;3346.76;4189.98;771.20;594744.93;5027.98;3975.58;4189.98
5660.30;3346.76;4079.45;627.89;394246.67;4895.34;3701.30;4079.45
5994.48;3346.76;4272.80;703.00;494210.42;5127.36;3813.16;4272.80
7272.98;3346.76;4213.54;774.20;599387.39;5056.25;3974.79;4213.54
5609.16;3346.76;4162.09;673.43;453506.37;4994.51;3693.08;4162.09
5521.38;3346.76;4175.44;682.96;466437.60;5010.53;3661.29;4175.44
6489.15;3346.76;4304.85;800.23;640364.15;5165.82;3927.21;4304.85
6503.71;3346.76;4281.92;637.53;406443.05;5138.30;3921.46;4281.92
6247.04;3346.76;4199.80;746.16;556756.46;5039.76;3849.81;4199.80
6564.53;3346.76;4241.57;785.83;617530.10;5089.88;3914.80;4241.57
6419.94;3346.76;4286.97;669.00;447554.88;5144.36;3909.03;4286.97
6629.35;3346.76;4138.60;725.70;526641.67;4966.32;3875.46;4138.60
6575.66;3346.76;4256.88;805.70;649158.49;5108.25;3922.72;4256.88
6564.11;3346.76;4305.87;782.43;612198.36;5167.04;3940.12;4305.87
6944.92;3346.76;4113.38;786.66;618835.51;4936.06;3890.65;4113.38
6374.80;3346.76;4209.65;754.47;569223.89;5051.58;3874.11;4209.65
6621.51;3346.76;4220.98;749.12;561185.89;5065.18;3913.54;4220.98
6485.53;3346.76;4160.22;719.05;517028.99;4992.27;3869.15;4160.22
6149.51;3346.76;4202.78;705.87;498249.15;5043.34;3833.17;4202.78
6789.13;3346.76;4273.77;803.77;646053.60;5128.53;3958.76;4273.77
5723.53;3346.76;4000.95;647.13;418775.86;4801.14;3697.06;4000.95
6489.15;3346.76;4049.66;681.87;464951.26;4859.60;3816.29;4049.66
7153.69;3346.76;4395.33;828.70;686745.28;5274.40;4061.16;4395.33
5781.95;3346.76;4061.56;680.29;462799.97;4873.87;3724.06;4061.56
7503.02;3346.76;4147.55;725.90;526933.64;4977.06;3949.59;4147.55
5545.49;3346.76;4161.54;627.80;394127.99;4993.85;3671.53;4161.54
6275.56;3346.76;4057.28;677.93;459591.63;4868.74;3797.37;4057.28
7011.31;3346.76;4144.20;740.22;547929.67;4973.04;3913.67;4144.20
5523.78;3346.76;4106.05;658.79;434010.21;4927.26;3666.24;4106.05
6586.53;3346.76;4412.92;750.93;563896.57;5295.50;3980.01;4412.92
6409.05;3346.76;4292.92;638.54;407731.89;5151.50;3909.03;4292.92
